,Valence,Arousal,Dominance,Liking
775,5.03,3.0,2.63,3.71
776,5.04,4.99,5.04,6.68
777,7.35,6.36,3.69,7.22
778,7.59,5.62,6.06,7.63
779,6.65,5.31,5.32,5.96
780,4.97,4.92,5.04,3.03
781,4.06,5.36,3.78,5.95
782,2.82,6.31,2.38,7.81
783,3.0,5.01,2.94,5.54
784,2.99,5.04,5.04,5.04
785,4.31,3.24,2.26,5.04
786,5.03,3.91,4.95,3.96
787,5.01,3.26,5.04,5.88
788,2.44,5.47,2.17,7.19
789,3.49,6.54,2.04,6.29
790,4.46,6.28,2.73,4.46
791,6.28,5.71,4.23,5.55
792,4.64,6.01,5.04,4.08
793,4.74,7.08,4.59,2.62
794,4.35,7.45,5.04,3.18
795,4.29,7.49,3.35,5.44
796,3.01,5.28,3.99,2.47
797,3.38,5.94,4.49,2.97
798,4.67,6.13,3.71,3.47
799,4.94,2.83,4.51,2.28
800,6.42,4.21,6.13,3.55
801,7.05,6.04,4.06,6.03
802,4.83,3.35,4.96,2.73
803,5.05,6.01,5.0,3.03
804,8.09,7.15,8.55,7.01
805,7.92,7.05,6.14,6.86
806,7.05,6.58,7.17,6.54
807,8.81,7.1,7.13,7.94
808,8.56,7.0,8.6,8.03
809,7.05,6.88,8.09,6.49
810,7.05,6.56,9.0,5.97
811,4.63,4.06,3.08,6.13
812,4.27,6.17,4.83,4.71
813,8.1,7.1,6.87,6.94
814,6.92,5.99,6.0,6.1
815,5.99,7.1,7.09,7.01
816,5.53,4.01,5.03,2.91
817,7.99,8.23,8.05,7.51
818,7.26,6.29,7.72,6.78
819,2.33,6.05,2.83,4.06
820,4.08,2.91,2.95,2.24
821,2.09,6.03,4.03,2.58
822,4.69,6.04,4.01,5.99
823,2.99,6.01,2.97,5.55
824,3.97,7.03,3.69,6.0
825,4.06,3.99,1.99,4.04
826,4.01,6.08,3.09,5.99
827,3.04,5.96,4.06,6.03
828,3.01,6.41,6.06,5.88
829,3.45,6.56,3.95,5.63
830,5.04,5.01,7.49,6.01
831,6.27,7.01,8.79,6.99
832,7.03,7.04,9.0,6.56
833,4.06,2.91,2.92,2.04
834,4.92,2.91,5.94,1.0
835,6.88,7.21,8.26,6.49
836,3.04,6.08,1.97,1.94
837,3.03,6.0,7.03,1.15
838,6.09,6.77,7.29,3.18
839,3.99,5.77,6.96,1.94
840,5.05,1.99,5.04,2.99
841,7.08,7.05,6.06,7.12
842,7.05,6.03,4.99,6.0
843,7.06,5.96,6.13,5.95
844,7.1,7.08,7.04,7.04
845,4.97,3.0,5.0,2.97
846,6.03,4.99,5.04,5.04
847,7.09,5.0,6.03,6.94
848,9.0,8.05,9.0,9.0
849,4.0,6.06,6.03,5.0
850,8.05,6.06,6.08,7.05
851,4.99,1.0,4.97,2.97
852,7.01,4.97,6.05,8.03
853,8.05,6.01,6.04,8.0
854,5.0,1.0,5.04,1.94
855,6.06,4.05,6.05,6.04
856,5.04,4.04,5.04,5.0
857,8.08,6.08,7.05,8.06
858,9.0,6.14,6.04,7.99
859,7.08,5.03,4.99,6.04
860,2.97,4.95,6.04,4.04
861,4.05,4.06,5.04,5.01
862,2.99,5.03,3.97,6.04
863,1.96,7.05,4.01,8.04
864,2.95,4.9,2.96,7.05
865,5.0,3.0,5.04,6.03
866,7.06,5.99,6.04,7.05
867,4.03,2.01,5.04,7.01
868,2.0,6.05,4.04,7.06
869,1.0,7.03,3.04,6.99
870,2.01,1.96,2.97,2.92
871,1.99,7.01,4.05,1.0
872,1.96,7.06,2.94,1.0
873,5.04,7.05,7.05,2.01
874,1.99,7.08,4.08,1.0
875,1.96,7.06,7.05,7.04
876,1.0,6.05,2.05,1.0
877,1.0,7.05,1.97,1.0
878,1.0,7.01,4.03,1.0
879,2.97,1.96,5.04,1.03
880,7.71,6.56,7.71,7.74
881,9.0,9.0,9.0,9.0
882,7.09,4.14,7.0,6.79
883,8.21,6.97,8.27,8.42
884,6.94,7.01,7.05,6.01
885,5.09,4.97,4.97,5.97
886,8.94,7.81,7.99,8.99
887,7.23,4.95,7.37,7.83
888,7.03,5.0,7.01,6.04
889,5.01,2.99,5.06,4.03
890,7.0,5.0,7.46,8.1
891,7.0,1.91,7.04,7.0
892,8.01,5.06,7.47,8.01
893,8.01,7.01,7.85,8.01
894,7.0,1.96,7.5,7.37
895,5.15,1.91,5.04,3.77
896,2.86,1.0,3.51,1.06
897,7.12,4.95,8.03,7.05
898,8.15,5.01,7.82,8.09
899,3.96,1.0,4.94,1.91
900,1.91,1.0,7.38,1.0
901,2.97,1.0,5.06,2.03
902,4.17,1.97,5.82,4.05
903,6.53,2.03,6.51,7.94
904,4.97,1.0,3.96,2.1
905,8.27,5.0,8.32,8.12
906,5.06,1.05,5.04,2.88
907,5.04,1.0,5.04,2.03
908,3.72,1.06,7.15,2.96
909,3.88,1.19,4.13,7.42
910,4.86,1.0,4.99,1.87
911,7.97,7.04,8.28,8.06
912,5.04,1.0,4.94,1.85
913,6.72,6.35,6.79,7.91
914,5.18,1.0,5.0,1.95
915,4.92,1.0,5.28,1.86
916,4.31,1.0,4.85,2.03
917,4.97,1.0,6.05,1.77
918,5.0,1.0,7.06,2.01
919,4.88,1.0,3.05,2.04
920,7.06,6.09,8.03,7.04
921,6.04,6.09,6.97,6.01
922,8.96,7.12,8.96,6.05
923,6.05,7.05,6.05,6.97
924,7.06,5.96,7.03,7.03
925,5.96,5.99,5.01,4.04
926,3.04,5.94,5.96,2.0
927,7.03,4.99,6.04,6.01
928,7.08,5.01,8.04,8.05
929,5.01,5.04,6.03,3.97
930,7.03,5.06,7.08,5.95
931,7.04,3.06,7.06,5.04
932,8.0,6.06,6.03,7.04
933,8.05,6.04,7.08,6.01
934,6.0,2.0,6.03,4.09
935,4.0,4.06,5.03,6.01
936,4.08,5.99,4.97,4.03
937,8.96,7.0,7.09,8.0
938,7.03,5.05,7.08,5.0
939,4.03,6.08,7.08,3.0
940,1.96,8.05,8.0,5.94
941,3.03,6.06,4.03,6.91
942,1.0,8.06,1.97,4.14
943,2.99,6.06,2.04,3.0
944,3.12,6.99,4.04,4.97
945,4.05,6.99,4.06,7.08
946,6.08,5.03,7.1,6.14
947,4.03,6.05,4.03,6.0
948,3.97,6.04,4.97,4.05
949,1.0,8.03,3.06,7.99
950,2.94,7.97,2.99,7.03
951,3.0,8.01,4.03,6.03
952,5.01,3.03,5.06,1.97
953,4.05,5.01,4.01,3.03
954,4.05,6.03,5.04,3.97
955,4.0,4.96,2.97,4.01
956,4.0,6.0,4.05,3.08
957,2.03,7.08,1.94,4.05
958,2.12,7.95,3.01,4.09
959,5.0,2.97,4.99,4.04
960,8.06,8.08,7.12,8.1
961,2.99,6.06,7.04,6.03
962,7.12,7.09,6.99,6.94
963,5.0,2.01,8.03,1.9
964,5.04,1.94,5.01,2.04
965,5.0,6.06,8.05,6.04
966,6.08,8.05,8.03,7.01
967,8.04,8.06,8.06,9.0
968,8.09,7.99,8.08,8.03
969,1.0,6.12,7.05,1.12
970,9.0,9.0,6.08,8.1
971,8.04,8.08,6.0,9.0
972,7.97,6.04,7.04,8.12
973,8.09,7.04,6.0,9.0
974,7.01,5.08,6.09,8.08
975,6.05,3.01,7.03,6.04
976,5.04,5.04,5.05,4.94
977,3.04,6.04,6.04,7.14
978,7.06,6.08,6.08,7.1
979,7.08,7.09,8.06,7.04
980,6.03,5.0,5.96,6.12
981,8.03,7.06,8.0,8.06
982,2.01,7.03,8.05,7.14
983,3.05,2.0,7.04,7.99
984,4.96,5.06,7.06,3.05
985,4.99,1.06,8.04,5.04
986,5.03,2.97,7.97,4.92
987,5.01,1.03,6.04,1.0
988,1.0,5.99,4.03,9.0
989,4.03,4.14,5.01,8.03
990,1.01,7.12,3.06,8.03
991,1.0,6.04,9.0,1.0
992,1.94,6.06,8.09,1.04
993,4.95,3.05,7.97,1.97
994,3.03,6.0,6.01,2.09
995,3.0,7.1,4.08,7.1
996,1.0,7.08,9.0,1.0
997,1.0,7.05,8.09,1.0
998,1.0,6.06,8.0,1.0
999,1.0,4.97,8.09,1.0
1000,7.97,7.9,6.21,8.86
1001,6.96,7.13,6.05,8.13
1002,9.0,8.08,7.1,8.96
1003,8.03,8.05,6.09,9.0
1004,4.0,3.01,5.04,2.01
1005,8.09,7.04,7.04,9.0
1006,6.08,7.1,7.0,7.08
1007,8.01,8.17,7.12,9.0
1008,8.05,7.17,6.04,9.0
1009,3.08,2.91,2.92,6.06
1010,8.04,6.88,5.99,8.96
1011,7.04,5.04,5.97,7.04
1012,7.12,2.94,6.05,7.1
1013,9.0,8.05,7.13,9.0
1014,7.01,5.04,4.92,6.12
1015,6.19,3.0,6.1,3.12
1016,5.04,5.03,5.04,5.14
1017,9.0,2.99,6.17,8.99
1018,8.0,7.06,6.03,7.96
1019,8.08,6.97,7.05,9.0
1020,6.06,2.94,5.06,7.22
1021,6.97,4.99,6.23,6.88
1022,2.28,2.88,3.96,6.13
1023,9.0,4.96,6.12,9.0
1024,7.14,3.95,5.03,8.15
1025,5.05,4.04,5.04,6.0
1026,6.0,4.03,5.04,9.0
1027,5.97,5.04,3.95,6.09
1028,6.09,4.9,6.04,8.97
1029,4.95,2.01,2.88,7.1
1030,1.97,1.94,3.09,6.97
1031,1.96,1.96,4.12,6.97
1032,1.0,1.0,3.99,1.0
1033,1.0,5.01,3.18,3.01
1034,2.97,1.0,3.09,3.96
1035,2.92,1.92,2.72,6.01
1036,1.0,1.0,2.79,1.0
1037,1.15,1.06,2.18,1.0
1038,1.95,1.97,3.97,1.04
1039,3.06,1.0,4.97,2.05
1040,6.03,5.04,9.0,6.0
1041,7.0,7.03,9.0,8.1
1042,9.0,8.04,9.0,9.0
1043,7.05,7.01,9.0,7.08
1044,4.97,1.0,9.0,1.0
1045,7.0,5.04,8.08,7.96
1046,4.94,5.04,9.0,7.03
1047,8.24,8.17,8.01,9.0
1048,8.99,9.0,9.0,9.0
1049,6.01,5.04,7.06,7.03
1050,9.0,5.04,9.0,8.05
1051,4.18,5.04,8.96,5.04
1052,7.01,7.14,9.0,8.03
1053,8.06,7.03,9.0,9.0
1054,5.04,3.06,9.0,5.04
1055,8.06,6.06,8.95,8.03
1056,9.0,7.08,9.0,9.0
1057,9.0,8.99,9.0,9.0
1058,5.06,2.0,9.0,4.04
1059,6.97,5.04,9.0,6.06
1060,9.0,8.14,9.0,8.12
1061,7.29,5.04,9.0,8.08
1062,8.0,6.04,9.0,8.03
1063,8.9,7.97,8.97,7.99
1064,4.0,1.0,9.0,6.04
1065,5.04,2.06,9.0,6.08
1066,4.97,1.0,9.0,1.0
1067,5.04,2.01,9.0,7.06
1068,7.18,5.04,9.0,7.03
1069,7.08,7.04,8.96,8.0
1070,5.08,6.04,8.04,7.09
1071,5.04,5.03,9.0,6.0
1072,5.04,3.04,8.97,5.04
1073,2.85,1.0,9.0,1.12
1074,1.0,1.0,5.03,5.04
1075,6.13,7.21,9.0,8.1
1076,2.99,5.03,7.1,5.13
1077,1.0,4.91,6.92,1.0
1078,2.14,1.01,9.0,1.97
1079,5.04,3.06,9.0,5.04
1080,7.03,7.09,8.01,8.01
1081,7.99,8.1,8.06,9.0
1082,9.0,7.04,7.0,9.0
1083,8.08,7.09,6.96,8.08
1084,7.04,8.03,8.19,9.0
1085,8.15,8.1,8.06,9.0
1086,8.09,9.0,7.08,9.0
1087,7.01,2.09,2.99,6.01
1088,5.04,5.0,5.04,4.99
1089,7.99,7.13,8.08,8.08
1090,7.01,4.03,6.0,7.03
1091,6.06,2.05,5.04,5.99
1092,2.09,1.01,2.05,1.9
1093,8.03,3.04,7.04,8.97
1094,5.04,1.0,3.03,2.01
1095,6.91,2.01,5.97,7.97
1096,6.99,3.09,7.05,6.97
1097,8.08,2.97,5.06,8.0
1098,7.03,7.08,7.06,9.0
1099,8.04,6.99,5.01,7.99
1100,2.01,1.95,3.0,4.95
1101,5.03,1.0,5.0,2.05
1102,2.03,3.04,1.99,2.01
1103,4.04,3.01,3.04,6.0
1104,4.06,3.05,6.97,8.09
1105,1.99,1.0,1.91,2.0
1106,6.08,6.01,6.01,6.94
1107,2.9,1.85,3.09,2.0
1108,2.06,1.97,2.92,3.0
1109,1.99,2.0,2.88,9.0
1110,6.91,7.04,7.99,7.06
1111,3.05,7.05,8.01,3.03
1112,7.01,7.92,9.0,7.06
1113,5.99,7.06,7.03,6.0
1114,1.08,6.05,8.96,1.0
1115,3.08,2.96,1.92,1.88
1116,1.01,5.0,8.95,1.0
1117,1.96,7.96,9.0,1.0
1118,1.04,3.06,2.05,2.06
1119,7.1,7.04,7.14,7.97
1120,6.06,5.06,6.05,6.04
1121,7.05,7.05,7.01,8.1
1122,9.0,7.08,8.01,8.08
1123,7.17,8.09,8.06,6.99
1124,6.05,8.05,8.06,8.0
1125,8.03,6.08,7.04,8.06
1126,7.04,7.1,8.06,7.12
1127,7.04,5.0,6.03,7.05
1128,7.06,6.06,7.03,7.08
1129,7.01,9.0,9.0,7.95
1130,8.03,7.01,7.01,7.01
1131,6.04,4.05,5.04,4.08
1132,6.06,2.92,3.96,6.08
1133,8.06,5.05,8.03,9.0
1134,4.01,1.97,3.0,3.29
1135,3.0,1.0,2.05,1.91
1136,5.08,1.0,2.03,3.0
1137,7.01,5.04,6.03,6.09
1138,7.05,6.06,5.05,5.99
1139,8.03,7.09,9.0,6.97
1140,2.92,2.03,8.03,1.0
1141,3.05,2.99,3.04,5.04
1142,2.05,1.0,2.88,1.92
1143,4.12,7.0,7.1,6.05
1144,3.03,3.97,4.06,4.0
1145,3.0,1.0,2.0,1.0
1146,7.09,6.06,8.99,7.94
1147,1.04,2.1,2.03,5.01
1148,3.97,1.0,4.03,3.04
1149,2.95,7.12,2.1,6.04
1150,1.0,8.04,2.04,1.0
1151,4.04,9.0,7.08,4.01
1152,1.99,7.03,1.0,1.0
1153,3.95,7.97,3.04,1.0
1154,1.92,8.04,1.99,1.0
1155,5.03,7.05,8.05,5.04
1156,5.01,5.0,7.03,1.0
1157,1.88,1.79,1.0,1.0
1158,6.05,8.08,9.0,4.95
1159,6.01,7.09,8.05,6.05
1160,5.04,5.04,5.04,5.04
1161,7.15,6.12,4.95,7.94
1162,6.15,5.92,5.92,7.01
1163,7.04,6.96,6.06,7.09
1164,6.19,6.94,5.04,6.08
1165,6.22,5.95,6.19,6.01
1166,4.05,4.06,4.03,2.96
1167,6.05,6.01,6.19,5.94
1168,7.08,6.14,4.99,7.0
1169,5.08,4.99,9.0,2.97
1170,6.06,7.14,5.23,6.08
1171,5.15,3.0,5.04,2.01
1172,4.04,4.97,3.96,2.95
1173,5.04,5.0,5.04,6.14
1174,5.01,4.01,5.0,2.79
1175,5.04,5.04,5.03,5.04
1176,7.13,6.06,5.0,5.03
1177,7.05,5.06,7.03,6.97
1178,8.27,7.03,5.01,7.19
1179,7.26,7.06,7.03,8.12
1180,3.05,2.9,3.05,1.0
1181,4.05,4.03,4.18,3.06
1182,3.0,2.99,3.06,1.03
1183,5.99,4.95,6.05,6.08
1184,3.92,4.0,3.99,4.0
1185,5.01,1.0,5.05,3.18
1186,8.01,6.27,6.0,7.12
1187,5.06,4.97,3.91,3.12
1188,7.23,5.1,5.1,6.05
1189,4.04,6.14,4.09,5.99
1190,3.86,3.95,5.12,3.97
1191,5.01,3.94,7.04,4.03
1192,3.91,3.05,4.09,1.0
1193,4.99,6.01,4.91,3.05
1194,5.04,4.94,5.04,7.15
1195,4.03,2.96,6.88,3.0
1196,4.13,3.95,2.71,2.03
1197,5.04,5.04,5.04,5.04
1198,2.97,4.12,5.04,1.0
1199,5.05,3.99,9.0,2.04
1200,6.79,5.97,8.08,8.09
1201,5.03,7.06,3.08,4.03
1202,8.04,5.08,7.05,8.09
1203,6.97,2.96,5.97,6.99
1204,6.22,5.03,6.13,7.08
1205,4.99,4.97,6.06,6.1
1206,6.05,5.06,5.04,6.29
1207,6.03,4.04,6.12,8.01
1208,6.06,3.88,6.04,6.96
1209,4.01,6.08,1.62,5.03
1210,9.0,2.82,8.23,9.0
1211,7.14,2.1,2.86,8.03
1212,8.09,4.04,8.04,8.09
1213,8.06,3.95,8.03,8.08
1214,6.05,1.0,8.03,6.13
1215,6.09,4.0,2.03,7.05
1216,4.94,2.1,5.04,5.95
1217,7.06,2.62,6.9,8.12
1218,7.95,6.06,6.04,7.01
1219,6.9,3.12,7.86,6.0
1220,5.09,8.04,8.05,6.09
1221,5.04,3.96,5.04,5.99
1222,1.0,7.08,8.04,4.09
1223,5.0,2.06,7.04,5.99
1224,6.14,3.1,7.97,7.06
1225,7.08,1.96,4.05,8.04
1226,5.0,1.95,5.04,7.17
1227,5.01,1.96,7.0,6.97
1228,5.09,1.0,8.03,6.09
1229,3.13,8.01,1.0,7.06
1230,5.0,5.0,3.03,6.92
1231,1.0,7.97,1.01,1.04
1232,4.18,9.0,2.85,1.88
1233,1.95,8.03,2.08,1.0
1234,4.03,7.14,1.81,1.0
1235,4.97,6.95,1.96,1.96
1236,1.0,9.0,1.01,1.0
1237,1.0,9.0,1.0,1.0
1238,1.0,9.0,1.0,1.01
1239,3.99,8.06,2.09,2.03
1240,8.13,4.83,9.0,4.87
1241,4.99,2.99,7.96,1.01
1242,8.05,7.09,8.86,7.08
1243,6.96,5.14,9.0,6.14
1244,7.15,5.94,9.0,4.81
1245,5.78,3.99,7.99,2.28
1246,4.94,4.09,9.0,2.09
1247,7.96,6.06,8.05,7.15
1248,7.86,4.17,8.94,7.04
1249,4.08,5.95,8.82,3.9
1250,8.24,6.22,8.99,6.88
1251,7.31,3.88,9.0,5.33
1252,7.09,3.87,9.0,6.99
1253,7.1,6.03,9.0,6.83
1254,5.01,1.77,9.0,2.81
1255,3.97,6.0,7.03,6.23
1256,6.09,5.03,9.0,3.94
1257,8.03,7.06,8.96,8.18
1258,8.24,7.24,9.0,8.04
1259,6.03,4.12,9.0,5.03
1260,4.12,5.99,7.17,3.83
1261,4.15,6.06,8.09,6.18
1262,3.01,6.15,5.08,6.17
1263,1.0,7.31,4.85,6.86
1264,4.01,7.17,8.01,6.94
1265,5.14,3.09,8.83,3.08
1266,6.0,7.24,7.97,5.81
1267,6.03,5.0,8.28,6.36
1268,4.09,6.08,8.97,4.0
1269,1.0,7.27,4.73,6.92
1270,4.17,5.96,7.13,1.97
1271,3.87,7.15,7.13,6.23
1272,4.06,1.0,6.96,1.0
1273,4.05,6.27,7.03,1.26
1274,3.88,7.26,6.04,1.0
1275,3.91,6.96,5.82,3.12
1276,2.81,6.13,6.06,1.04
1277,3.05,7.01,5.1,1.1
1278,3.99,7.17,4.85,1.0
1279,7.15,4.03,9.0,1.88
